Id,Label,timeset,comment,indegree,outdegree,Degree
3aa30a47d74ebf90b444dccdf8c153f07f119483.patch,3aa30a47d74ebf90b444dccdf8c153f07f119483.patch,,Patch,1,5,6
3b7b56bd7060b426b1f1bfded392ae6853644e2e.patch,3b7b56bd7060b426b1f1bfded392ae6853644e2e.patch,,Patch,1,5,6
3b9c502ff5c98856d4f8fdb7ed3c6ef34448bfb7.patch,3b9c502ff5c98856d4f8fdb7ed3c6ef34448bfb7.patch,,Patch,1,5,6
3bmd-20171019-git.tgz,3bmd-20171019-git.tgz,,Archive,1,4,5
3c9e6b038ed544e446c61695dab62f83e781a28a.patch,3c9e6b038ed544e446c61695dab62f83e781a28a.patch,,Patch,1,5,6
3d48cb0c28be.tar.gz,3d48cb0c28be.tar.gz,,Archive,1,4,5
3dc76b53ad896494ca62550a7a752fecbca3f7a2.patch,3dc76b53ad896494ca62550a7a752fecbca3f7a2.patch,,Patch,2,5,7
3dpong-0.5,3dpong-0.5,,None,0,4,4
3dpong-0.5.tar.gz,3dpong-0.5.tar.gz,,Archive,1,4,5
3e191111b72df9ec91a773befefa291799374422.patch,3e191111b72df9ec91a773befefa291799374422.patch,,Patch,1,5,6
3to2-1.1.1.zip,3to2-1.1.1.zip,,Archive,2,4,6
4.0.1.1.tar.gz,4.0.1.1.tar.gz,,Archive,1,4,5
4.15.0.1.tar.gz,4.15.0.1.tar.gz,,Archive,1,4,5
4.2.2.tar.gz,4.2.2.tar.gz,,Archive,1,4,5
4.5.5.tar.gz,4.5.5.tar.gz,,Archive,1,4,5
4.6.0.tar.gz,4.6.0.tar.gz,,Archive,1,4,5
4.6.4.tar.gz,4.6.4.tar.gz,,Archive,1,4,5
4.9.0.tar.gz,4.9.0.tar.gz,,Archive,1,4,5
4058733-19b03c3,4058733-19b03c3,,Golang,1,4,5
40d9077a80be13942476f164bddfabe842ab2a45.patch,40d9077a80be13942476f164bddfabe842ab2a45.patch,,Patch,1,5,6
420a405e4dbccd78b2a471b632b9fe1a1e04502b.tar.gz,420a405e4dbccd78b2a471b632b9fe1a1e04502b.tar.gz,,Archive,0,4,4
421760d84694a0e6e72d0e9b1d4fd30a7e129c6f.patch,421760d84694a0e6e72d0e9b1d4fd30a7e129c6f.patch,,Patch,1,5,6
42b049f338363f92c1e93b4549fc944098eae674.patch,42b049f338363f92c1e93b4549fc944098eae674.patch,,Patch,1,5,6
4476d162cc191a0fefb2ce434153e12bbf188664.patch,4476d162cc191a0fefb2ce434153e12bbf188664.patch,,Patch,1,5,6
4622e5fc8ece82f4cf31358e31cd02cf020e558e.patch,4622e5fc8ece82f4cf31358e31cd02cf020e558e.patch,,Patch,1,5,6
47.patch,47.patch,,Patch,1,5,6
4798e18b2b2c8b0a05dc967e6140fd9962bc1a73.tar.gz,4798e18b2b2c8b0a05dc967e6140fd9962bc1a73.tar.gz,,Archive,1,4,5
49fbcd8f736f847d3f9667f9f7d5567ef4550ecb.patch,49fbcd8f736f847d3f9667f9f7d5567ef4550ecb.patch,,Patch,1,5,6
4b0ed8b6030450e6d99909a7c683e9642e546387.patch,4b0ed8b6030450e6d99909a7c683e9642e546387.patch,,Patch,2,5,7
4c7a583e8431964def482e5471f02e6de8e62a7b.patch,4c7a583e8431964def482e5471f02e6de8e62a7b.patch,,Patch,1,5,6
4ca48b2b688b135c0390f54ea9077ef10aedd52c.patch,4ca48b2b688b135c0390f54ea9077ef10aedd52c.patch,,Patch,2,5,7
